perf,Performance,e,d,nm,norm,bs,seed
"[0.4173, 0.4409, 0.4488, 0.4173, 0.4291, 0.4134, 0.4252, 0.4213, 0.4291, 0.4055, 0.437, 0.4528, 0.5276, 0.5433, 0.5118]",0.5276,BoundedPareto-0-StrongForAll,0.0001,440,1.0,58,44
"[0.4252, 0.4528, 0.4646, 0.4331, 0.4409, 0.4331, 0.437, 0.4331, 0.4449, 0.4331, 0.4724, 0.4724, 0.5551, 0.5748, 0.5709]",0.5669,BoundedPareto-0-Dropout,0.0001,13.32,1.0,2,44
"[0.4961, 0.5394, 0.5984, 0.622, 0.6614, 0.7047, 0.6929, 0.7047, 0.7165, 0.7205, 0.7165, 0.7126, 0.7362, 0.7362, 0.7362]",0.7362,BoundedMixGauss-0-Ours,0.0001,13.32,1.0,15,44
"[0.4173, 0.4409, 0.4488, 0.4173, 0.4291, 0.4134, 0.4252, 0.4213, 0.4291, 0.4055, 0.437, 0.4528, 0.5276, 0.5433, 0.5118]",0.5276,BoundedMixGauss-0-StrongForAll,0.0001,440,1.0,58,44
"[0.4449, 0.4685, 0.4882, 0.4685, 0.4764, 0.4685, 0.5276, 0.5472, 0.563, 0.5787, 0.6063, 0.6575, 0.6654, 0.6693, 0.6732]",0.6693,BoundedMixGauss-0-Dropout,0.0001,13.32,1.0,3,44
"[0.5866, 0.6969, 0.7362, 0.748, 0.7598, 0.7598, 0.7559, 0.7559, 0.752, 0.752, 0.7559, 0.748, 0.748, 0.7441, 0.7441]",0.7454,PrivacyFree,,,,16,45
"[0.4528, 0.4882, 0.5591, 0.6299, 0.622, 0.6535, 0.6811, 0.7047, 0.7087, 0.7205, 0.7362, 0.7362, 0.7441, 0.752, 0.7559]",0.7507,ThreeLevels-0-Ours,0.0001,13.32,1.0,15,45
"[0.4409, 0.4291, 0.4331, 0.4528, 0.4409, 0.437, 0.4646, 0.4685, 0.4764, 0.5, 0.5, 0.5354, 0.5433, 0.563, 0.5787]",0.5617,ThreeLevels-0-StrongForAll,0.0001,440,1.0,58,45
"[0.4449, 0.4528, 0.4528, 0.4685, 0.4764, 0.4961, 0.5315, 0.5551, 0.5827, 0.6102, 0.622, 0.6339, 0.6299, 0.6417, 0.6732]",0.6483,ThreeLevels-0-Dropout,0.0001,13.32,1.0,4,45
"[0.4449, 0.4685, 0.4764, 0.5, 0.5, 0.5236, 0.5551, 0.6063, 0.6299, 0.6457, 0.6614, 0.6811, 0.685, 0.685, 0.689]",0.6863,BoundedPareto-0-Ours,0.0001,13.32,1.0,7,45
"[0.4409, 0.4291, 0.4331, 0.4488, 0.4449, 0.4409, 0.4646, 0.4724, 0.4882, 0.5157, 0.5079, 0.5512, 0.5512, 0.5748, 0.5945]",0.5735,BoundedPareto-0-StrongForAll,0.0001,400,1.0,58,45
